index,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
151,Serbia,283,131,127,9.6
152,Seychelles,157,25,51,4.1
153,Sierra Leone,25,3,2,6.7
154,Singapore,60,12,11,1.5
155,Slovakia,196,293,116,11.4
156,Slovenia,270,51,276,10.6
157,Solomon Islands,56,11,1,1.2
158,Somalia,0,0,0,0.0
159,South Africa,225,76,81,8.2
160,Spain,284,157,112,10.0
161,Sri Lanka,16,104,0,2.2
162,Sudan,8,13,0,1.7
163,Suriname,128,178,7,5.6
164,Swaziland,90,2,2,4.7
165,Sweden,152,60,186,7.2
166,Switzerland,185,100,280,10.2
167,Syria,5,35,16,1.0
168,Tajikistan,2,15,0,0.3
169,Thailand,99,258,1,6.4
170,Macedonia,106,27,86,3.9
171,Timor-Leste,1,1,4,0.1
172,Togo,36,2,19,1.3
173,Tonga,36,21,5,1.1
174,Trinidad & Tobago,197,156,7,6.4
175,Tunisia,51,3,20,1.3
176,Turkey,51,22,7,1.4
177,Turkmenistan,19,71,32,2.2
178,Tuvalu,6,41,9,1.0
179,Uganda,45,9,0,8.3
180,Ukraine,206,237,45,8.9
181,United Arab Emirates,16,135,5,2.8
182,United Kingdom,219,126,195,10.4
183,Tanzania,36,6,1,5.7
184,USA,249,158,84,8.7
185,Uruguay,115,35,220,6.6
186,Uzbekistan,25,101,8,2.4
187,Vanuatu,21,18,11,0.9
188,Venezuela,333,100,3,7.7
189,Vietnam,111,2,1,2.0
190,Yemen,6,0,0,0.1
191,Zambia,32,19,4,2.5
192,Zimbabwe,64,18,4,4.7
