index,GhoCode,GhoDisplay,PublishStateCode,PublishStateDisplay,YearCode,YearDisplay,RegionCode,RegionDisplay,WorldBankIncomeGroupGroupCode,WorldBankIncomeGroupDisplay,CountryCode,CountryDisplay,SexCode,SexDisplay,DisplayValue,Numeric
10,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2000,2000,EMR,Eastern Mediterranean,WB_LMI,Lower_middle_income,PAK,Pakistan,FMLE,Female,54,54.1
11,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2012,2012,WPR,Western Pacific,WB_LI,Low_income,NIU,Niue,MLE,Male,17,17.0
12,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,1990,1990,WPR,Western Pacific,WB_LMI,Lower_middle_income,WSM,Samoa,MLE,Male,14,14.0
13,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,WPR,Western Pacific,WB_HI,High_income,JPN,Japan,BTSX,Both sexes,79,79.0
14,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2000,2000,WPR,Western Pacific,WB_LMI,Lower_middle_income,MNG,Mongolia,FMLE,Female,58,58.2
15,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AMR,Americas,WB_LMI,Lower_middle_income,BLZ,Belize,MLE,Male,69,69.0
16,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AMR,Americas,WB_UMI,Upper_middle_income,MEX,Mexico,MLE,Male,68,68.0
17,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2013,2013,AMR,Americas,,,BRA,Brazil,MLE,Male,72,71.61015
18,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2012,2012,WPR,Western Pacific,WB_HI,High_income,AUS,Australia,BTSX,Both sexes,25,25.0
19,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2013,2013,WPR,Western Pacific,,,NIU,Niue,FMLE,Female,21,20.83867
20,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2000,2000,AFR,Africa,WB_LI,Low_income,RWA,Rwanda,MLE,Male,39,39.3
21,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2012,2012,AMR,Americas,WB_LMI,Lower_middle_income,BOL,Bolivia (Plurinational State of),BTSX,Both sexes,59,59.0
22,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2012,2012,EUR,Europe,WB_HI,High_income,AND,Andorra,BTSX,Both sexes,72,71.7
23,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2013,2013,AMR,Americas,,,LCA,Saint Lucia,BTSX,Both sexes,75,75.18542
24,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2013,2013,EMR,Eastern Mediterranean,,,DJI,Djibouti,BTSX,Both sexes,16,16.36789
25,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2013,2013,SEAR,South_East Asia,,,BTN,Bhutan,BTSX,Both sexes,19,19.47774
26,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2012,2012,WPR,Western Pacific,WB_LMI,Lower_middle_income,TON,Tonga,BTSX,Both sexes,62,62.2
27,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EUR,Europe,WB_UMI,Upper_middle_income,BGR,Bulgaria,FMLE,Female,75,75.0
28,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2013,2013,EMR,Eastern Mediterranean,,,SYR,Syrian Arab Republic,FMLE,Female,22,21.90694
29,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2013,2013,WPR,Western Pacific,,,MNG,Mongolia,FMLE,Female,18,17.96584
30,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,SEAR,South_East Asia,WB_LI,Low_income,MMR,Myanmar,BTSX,Both sexes,59,59.0
31,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2000,2000,AMR,Americas,WB_HI,High_income,BRB,Barbados,BTSX,Both sexes,65,64.7
32,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2013,2013,EMR,Eastern Mediterranean,WB_HI,High_income,KWT,Kuwait,BTSX,Both sexes,68,67.9
33,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2012,2012,AMR,Americas,WB_UMI,Upper_middle_income,GRD,Grenada,MLE,Male,16,16.0
34,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2000,2000,AMR,Americas,WB_UMI,Upper_middle_income,SUR,Suriname,MLE,Male,20,20.0
35,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2013,2013,EUR,Europe,,,POL,Poland,MLE,Male,19,18.5948
36,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AFR,Africa,WB_LI,Low_income,NER,Niger,BTSX,Both sexes,50,50.0
37,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2012,2012,WPR,Western Pacific,WB_LMI,Lower_middle_income,MNG,Mongolia,FMLE,Female,18,18.0
38,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2012,2012,EUR,Europe,WB_LMI,Lower_middle_income,ARM,Armenia,FMLE,Female,66,65.6
39,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2013,2013,AFR,Africa,WB_LMI,Lower_middle_income,STP,Sao Tome and Principe,MLE,Male,56,56.2
40,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2012,2012,AFR,Africa,WB_LI,Low_income,GIN,Guinea,BTSX,Both sexes,16,16.0
41,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2013,2013,AMR,Americas,,,PAN,Panama,BTSX,Both sexes,77,77.34814
42,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2012,2012,WPR,Western Pacific,WB_HI,High_income,KOR,Republic of Korea,BTSX,Both sexes,72,72.4
43,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,1990,1990,EUR,Europe,WB_HI,High_income,CZE,Czech Republic,FMLE,Female,19,19.0
44,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,WPR,Western Pacific,WB_LMI,Lower_middle_income,SLB,Solomon Islands,BTSX,Both sexes,65,65.0
45,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,WB_HI,High_income,ISL,Iceland,FMLE,Female,82,82.0
46,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AFR,Africa,WB_LI,Low_income,KEN,Kenya,FMLE,Female,62,62.0
47,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2013,2013,SEAR,South_East Asia,,,IND,India,MLE,Male,65,64.73003
48,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2013,2013,AMR,Americas,WB_LMI,Lower_middle_income,GTM,Guatemala,BTSX,Both sexes,62,62.5
49,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2012,2012,EUR,Europe,WB_UMI,Upper_middle_income,BLR,Belarus,BTSX,Both sexes,63,62.8
50,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2012,2012,WPR,Western Pacific,WB_LMI,Lower_middle_income,VUT,Vanuatu,MLE,Male,70,70.0
51,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2012,2012,AMR,Americas,WB_UMI,Upper_middle_income,CHL,Chile,MLE,Male,77,77.0
52,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,WPR,Western Pacific,WB_UMI,Upper_middle_income,MYS,Malaysia,MLE,Male,69,69.0
53,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2013,2013,AMR,Americas,,,ATG,Antigua and Barbuda,MLE,Male,21,21.04654
54,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2013,2013,EUR,Europe,,,NLD,Netherlands,FMLE,Female,25,25.42999
55,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2013,2013,AFR,Africa,WB_LI,Low_income,UGA,Uganda,FMLE,Female,52,51.8
56,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2012,2012,WPR,Western Pacific,WB_UMI,Upper_middle_income,FJI,Fiji,MLE,Male,15,15.0
57,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2012,2012,EMR,Eastern Mediterranean,WB_LMI,Lower_middle_income,DJI,Djibouti,MLE,Male,52,51.6
58,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2012,2012,AFR,Africa,WB_LI,Low_income,BEN,Benin,BTSX,Both sexes,59,59.0
59,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2000,2000,EMR,Eastern Mediterranean,WB_LMI,Lower_middle_income,EGY,Egypt,BTSX,Both sexes,17,17.0
60,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,1990,1990,AMR,Americas,WB_UMI,Upper_middle_income,VCT,Saint Vincent and the Grenadines,BTSX,Both sexes,19,19.0
61,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,1990,1990,AFR,Africa,WB_LI,Low_income,SEN,Senegal,FMLE,Female,16,16.0
62,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2012,2012,EUR,Europe,WB_UMI,Upper_middle_income,LTU,Lithuania,FMLE,Female,23,23.0
63,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2000,2000,EMR,Eastern Mediterranean,WB_LI,Low_income,YEM,Yemen,MLE,Male,51,50.9
64,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2012,2012,AMR,Americas,WB_LMI,Lower_middle_income,GUY,Guyana,BTSX,Both sexes,15,15.0
65,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,1990,1990,AMR,Americas,WB_HI,High_income,ATG,Antigua and Barbuda,FMLE,Female,18,18.0
66,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,WPR,Western Pacific,WB_LMI,Lower_middle_income,WSM,Samoa,MLE,Male,67,67.0
67,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2012,2012,AMR,Americas,WB_UMI,Upper_middle_income,URY,Uruguay,MLE,Male,73,73.0
68,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EUR,Europe,WB_LMI,Lower_middle_income,UKR,Ukraine,BTSX,Both sexes,70,70.0
69,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2012,2012,WPR,Western Pacific,WB_LMI,Lower_middle_income,CHN,China,FMLE,Female,77,77.0
70,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2013,2013,EUR,Europe,,,FRA,France,MLE,Male,23,22.84762
71,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2000,2000,AFR,Africa,WB_LI,Low_income,COM,Comoros,BTSX,Both sexes,15,15.0
72,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AMR,Americas,WB_LMI,Lower_middle_income,PRY,Paraguay,MLE,Male,71,71.0
73,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2000,2000,SEAR,South_East Asia,WB_LMI,Lower_middle_income,MDV,Maldives,MLE,Male,59,58.9
74,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,WPR,Western Pacific,WB_LMI,Lower_middle_income,PHL,Philippines,BTSX,Both sexes,66,66.0
75,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2013,2013,AFR,Africa,,,GHA,Ghana,BTSX,Both sexes,63,62.80416
76,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,1990,1990,AFR,Africa,WB_LMI,Lower_middle_income,SWZ,Swaziland,MLE,Male,16,16.0
77,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2000,2000,WPR,Western Pacific,WB_LMI,Lower_middle_income,SLB,Solomon Islands,FMLE,Female,17,17.0
78,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2013,2013,AFR,Africa,,,GNQ,Equatorial Guinea,FMLE,Female,17,16.73167
79,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,WB_HI,High_income,SWE,Sweden,BTSX,Both sexes,80,80.0
80,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AFR,Africa,WB_LI,Low_income,GIN,Guinea,MLE,Male,46,46.0
81,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2000,2000,AMR,Americas,WB_UMI,Upper_middle_income,KNA,Saint Kitts and Nevis,MLE,Male,17,17.0
82,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2012,2012,WPR,Western Pacific,WB_HI,High_income,NRU,Nauru,BTSX,Both sexes,79,79.0
83,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AFR,Africa,WB_LI,Low_income,TZA,United Republic of Tanzania,BTSX,Both sexes,51,51.0
84,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2013,2013,EUR,Europe,WB_LI,Low_income,TJK,Tajikistan,BTSX,Both sexes,60,60.1
85,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2000,2000,AMR,Americas,WB_UMI,Upper_middle_income,DOM,Dominican Republic,FMLE,Female,64,64.0
86,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AFR,Africa,WB_LI,Low_income,GHA,Ghana,MLE,Male,57,57.0
87,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2012,2012,EMR,Eastern Mediterranean,WB_LMI,Lower_middle_income,SDN,Sudan,BTSX,Both sexes,17,17.0
88,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2013,2013,AFR,Africa,,,ZMB,Zambia,FMLE,Female,18,18.1031
89,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,WB_LMI,Lower_middle_income,AZE,Azerbaijan,MLE,Male,64,64.0
90,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2013,2013,EUR,Europe,,,BGR,Bulgaria,MLE,Male,17,17.43376
91,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2013,2013,AMR,Americas,WB_UMI,Upper_middle_income,COL,Colombia,MLE,Male,65,65.2
92,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2013,2013,EUR,Europe,WB_UMI,Upper_middle_income,MKD,The former Yugoslav republic of Macedonia,MLE,Male,64,64.4
93,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2000,2000,AFR,Africa,WB_LI,Low_income,RWA,Rwanda,BTSX,Both sexes,15,15.0
94,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2013,2013,AFR,Africa,WB_UMI,Upper_middle_income,MUS,Mauritius,FMLE,Female,68,67.8
95,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2012,2012,AMR,Americas,WB_UMI,Upper_middle_income,PAN,Panama,MLE,Male,65,64.8
96,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2000,2000,AFR,Africa,WB_UMI,Upper_middle_income,DZA,Algeria,BTSX,Both sexes,60,60.2
97,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2000,2000,EUR,Europe,WB_UMI,Upper_middle_income,TUR,Turkey,FMLE,Female,21,21.0
98,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2013,2013,WPR,Western Pacific,,,COK,Cook Islands,FMLE,Female,78,78.27155
99,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AMR,Americas,WB_LMI,Lower_middle_income,GTM,Guatemala,MLE,Male,64,64.0
100,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,WB_HI,High_income,DEU,Germany,MLE,Male,67,66.5
101,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,SEAR,South_East Asia,WB_LMI,Lower_middle_income,LKA,Sri Lanka,BTSX,Both sexes,70,70.0
102,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2013,2013,EUR,Europe,,,RUS,Russian Federation,MLE,Male,14,13.67259
103,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,1990,1990,AMR,Americas,WB_UMI,Upper_middle_income,DMA,Dominica,FMLE,Female,21,21.0
104,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2012,2012,EUR,Europe,WB_HI,High_income,DEU,Germany,MLE,Male,78,78.0
105,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2012,2012,EUR,Europe,WB_HI,High_income,HRV,Croatia,MLE,Male,74,74.0
106,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,EMR,Eastern Mediterranean,WB_LI,Low_income,SSD,South Sudan,MLE,Male,41,41.0
107,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2000,2000,WPR,Western Pacific,WB_UMI,Upper_middle_income,PLW,Palau,MLE,Male,16,16.0
108,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,1990,1990,WPR,Western Pacific,WB_LMI,Lower_middle_income,FSM,Micronesia (Federated States of),FMLE,Female,17,17.0
109,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2012,2012,AMR,Americas,WB_LI,Low_income,HTI,Haiti,FMLE,Female,53,52.9
110,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2012,2012,EUR,Europe,WB_HI,High_income,SVK,Slovakia,FMLE,Female,70,70.0
111,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2012,2012,AMR,Americas,WB_UMI,Upper_middle_income,KNA,Saint Kitts and Nevis,MLE,Male,71,71.0
112,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,1990,1990,WPR,Western Pacific,WB_HI,High_income,BRN,Brunei Darussalam,BTSX,Both sexes,18,18.0
113,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AFR,Africa,WB_LMI,Lower_middle_income,COG,Congo,FMLE,Female,53,53.0
114,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2013,2013,WPR,Western Pacific,WB_UMI,Upper_middle_income,MYS,Malaysia,FMLE,Female,66,66.4
115,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,1990,1990,EUR,Europe,WB_UMI,Upper_middle_income,BLR,Belarus,MLE,Male,16,16.0
116,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,EUR,Europe,WB_HI,High_income,AUT,Austria,BTSX,Both sexes,78,78.0
117,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,1990,1990,AFR,Africa,WB_UMI,Upper_middle_income,DZA,Algeria,BTSX,Both sexes,17,17.0
118,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,1990,1990,AMR,Americas,WB_UMI,Upper_middle_income,LCA,Saint Lucia,BTSX,Both sexes,20,20.0
119,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2013,2013,EUR,Europe,,,GBR,United Kingdom of Great Britain and Northern Ireland,FMLE,Female,83,82.96336
120,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2000,2000,AMR,Americas,WB_UMI,Upper_middle_income,COL,Colombia,MLE,Male,69,69.0
121,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2012,2012,AFR,Africa,WB_LI,Low_income,ZWE,Zimbabwe,MLE,Male,47,47.5
122,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2000,2000,EUR,Europe,WB_HI,High_income,FRA,France,BTSX,Both sexes,23,23.0
123,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2013,2013,AFR,Africa,,,STP,Sao Tome and Principe,BTSX,Both sexes,18,18.2137
124,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2013,2013,EUR,Europe,,,SMR,San Marino,FMLE,Female,26,25.60971
125,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2013,2013,AMR,Americas,,,CUB,Cuba,FMLE,Female,80,80.12782
126,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2000,2000,EMR,Eastern Mediterranean,WB_HI,High_income,BHR,Bahrain,MLE,Male,18,18.0
127,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,1990,1990,EUR,Europe,WB_UMI,Upper_middle_income,POL,Poland,BTSX,Both sexes,18,18.0
128,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2013,2013,SEAR,South_East Asia,,,IND,India,BTSX,Both sexes,66,66.39526
129,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2013,2013,AMR,Americas,WB_HI,High_income,ATG,Antigua and Barbuda,BTSX,Both sexes,64,64.1
130,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AFR,Africa,WB_LI,Low_income,TGO,Togo,FMLE,Female,57,57.0
131,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2013,2013,AFR,Africa,,,CIV,Côte d'Ivoire,FMLE,Female,54,53.97916
132,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2013,2013,EUR,Europe,WB_UMI,Upper_middle_income,RUS,Russian Federation,FMLE,Female,66,65.8
133,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2012,2012,WPR,Western Pacific,WB_HI,High_income,KOR,Republic of Korea,FMLE,Female,75,74.9
134,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2000,2000,AMR,Americas,WB_HI,High_income,USA,United States of America,MLE,Male,20,20.0
135,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,SEAR,South_East Asia,WB_LI,Low_income,PRK,Democratic People's Republic of Korea,MLE,Male,66,66.0
136,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2012,2012,WPR,Western Pacific,WB_LI,Low_income,VNM,Viet Nam,BTSX,Both sexes,76,76.0
137,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,1990,1990,AFR,Africa,WB_LMI,Lower_middle_income,CPV,Cabo Verde,BTSX,Both sexes,66,66.0
138,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,1990,1990,AMR,Americas,WB_LMI,Lower_middle_income,PRY,Paraguay,FMLE,Female,22,22.0
139,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2013,2013,AFR,Africa,WB_LI,Low_income,ETH,Ethiopia,FMLE,Female,57,56.9
140,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,1990,1990,AFR,Africa,WB_LI,Low_income,COD,Democratic Republic of the Congo,MLE,Male,14,14.0
141,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2013,2013,WPR,Western Pacific,,,FSM,Micronesia (Federated States of),BTSX,Both sexes,69,69.12877
142,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2013,2013,EUR,Europe,WB_LMI,Lower_middle_income,MDA,Republic of Moldova,BTSX,Both sexes,62,62.5
143,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,1990,1990,EUR,Europe,WB_UMI,Upper_middle_income,MNE,Montenegro,FMLE,Female,23,23.0
144,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2013,2013,AFR,Africa,WB_LI,Low_income,LBR,Liberia,MLE,Male,52,51.6
145,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2013,2013,WPR,Western Pacific,,,WSM,Samoa,FMLE,Female,77,76.90939
146,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,1990,1990,EUR,Europe,WB_HI,High_income,HUN,Hungary,BTSX,Both sexes,17,17.0
147,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2012,2012,EMR,Eastern Mediterranean,WB_LMI,Lower_middle_income,IRQ,Iraq,BTSX,Both sexes,70,70.0
148,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2013,2013,AFR,Africa,,,ZAF,South Africa,BTSX,Both sexes,17,16.52209
149,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2012,2012,AFR,Africa,WB_LI,Low_income,MDG,Madagascar,BTSX,Both sexes,55,54.6
150,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),PUBLISHED,Published,2013,2013,EUR,Europe,WB_HI,High_income,GRC,Greece,BTSX,Both sexes,71,71.3
151,WHOSIS_000015,Life expectancy at age 60 (years),PUBLISHED,Published,2000,2000,AMR,Americas,WB_UMI,Upper_middle_income,KNA,Saint Kitts and Nevis,FMLE,Female,19,19.0
152,WHOSIS_000001,Life expectancy at birth (years),PUBLISHED,Published,2013,2013,WPR,Western Pacific,,,BRN,Brunei Darussalam,FMLE,Female,79,78.56667
